PopTotal,ISO
38928341,AF
2877800,AL
43851043,DZ
55197,AS
77265,AD
32866268,AO
97928,AG
10139175,AZ
45195777,AR
25499881,AU
9006400,AT
393248,BS
1701583,BH
164689383,BD
2963234,AM
287371,BB
11589616,BE
62273,BM
771612,BT
11673029,BO
3280815,BA
2351625,BW
212559409,BR
397621,BZ
686878,SB
30237,VG
437483,BN
6948445,BG
54409794,MM
11890781,BI
9449321,BY
16718971,KH
26545864,CM
37742157,CA
555988,CV
65720,KY
4829764,CF
21413250,LK
16425859,TD
19116209,CL
1439323774,CN
23816775,TW
50882884,CO
869595,KM
272813,YT
5518092,CG
89561404,CD
17564,CK
5094114,CR
4105268,HR
11326616,CU
1207361,CY
10708982,CZ
12123198,BJ
5792203,DK
71991,DM
10847904,DO
17643060,EC
6486201,SV
1402985,GQ
114963583,ET
3546427,ER
1326539,EE
48865,FO
3483,FK
896444,FJ
5540718,FI
65273512,FR
298682,GF
280904,PF
988002,DJ
2225728,GA
3989175,GE
2416664,GM
5101416,PS
83783945,DE
31072945,GH
33691,GI
119446,KI
10423056,GR
56772,GL
112519,GD
400127,GP
168783,GU
17915567,GT
13132792,GN
786559,GY
11402533,HT
809,VA
9904608,HN
7496988,HK
9660350,HU
341250,IS
1380004385,IN
273523621,ID
83992953,IR
40222503,IQ
4937796,IE
8655541,IL
60461828,IT
26378275,CI
2961161,JM
126476458,JP
18776707,KZ
10203140,JO
53771300,KE
25778815,KP
51269183,KR
4270563,KW
6524191,KG
7275556,LA
6825442,LB
2142252,LS
1886202,LV
5057677,LR
6871287,LY
38137,LI
2722291,LT
625976,LU
649342,MO
27691019,MG
19129955,MW
32365998,MY
540542,MV
20250834,ML
441539,MT
375265,MQ
4649660,MR
1271767,MU
128932753,MX
39244,MC
3278292,MN
4033963,MD
628062,ME
4999,MS
36910558,MA
31255435,MZ
5106622,OM
2540916,NA
10834,NR
29136808,NP
17134873,NL
164100,CW
106766,AW
42882,SX
26221,BQ
285491,NC
307150,VU
4822233,NZ
6624554,NI
24206636,NE
206139587,NG
1618,NU
5421242,NO
57557,MP
115021,FM
59194,MH
18092,PW
220892331,PK
4314768,PA
8947027,PG
7132530,PY
32971846,PE
109581085,PH
37846605,PL
10196707,PT
1967998,GW
1318442,TL
2860840,PR
2881060,QA
895308,RE
19237682,RO
145934460,RU
12952209,RW
9885,BL
6071,SH
53192,KN
15002,AI
183629,LC
38659,MF
5795,PM
110947,VC
33938,SM
219161,ST
34813867,SA
16743930,SN
8737370,RS
98340,SC
7976985,SL
5850343,SG
5459643,SK
97338583,VN
2078932,SI
15893219,SO
59308690,ZA
14862927,ZW
46754783,ES
11193729,SS
43849269,SD
597330,EH
586634,SR
1160164,SZ
10099270,SE
8654618,CH
17500657,SY
9537642,TJ
69799978,TH
8278737,TG
1350,TK
105697,TO
1399491,TT
9890400,AE
11818618,TN
84339067,TR
6031187,TM
38718,TC
11792,TV
45741000,UG
43733759,UA
2083380,MK
102334403,EG
67886004,GB
85032,IM
59734213,TZ
331002647,US
104423,VI
20903278,BF
3473727,UY
33469199,UZ
28435943,VE
11246,WF
198410,WS
29825968,YE
18383956,ZM
