state,county,population
 Alabama,Autauga County,55869
 Alabama,Baldwin County,223234
 Alabama,Barbour County,24686
 Alabama,Bibb County,22394
 Alabama,Blount County,57826
 Alabama,Bullock County,10101
 Alabama,Butler County,19448
 Alabama,Calhoun County,113605
 Alabama,Chambers County,33254
 Alabama,Cherokee County,26196
 Alabama,Chilton County,44428
 Alabama,Choctaw County,12589
 Alabama,Clarke County,23622
 Alabama,Clay County,13235
 Alabama,Cleburne County,14910
 Alabama,Coffee County,52342
 Alabama,Colbert County,55241
 Alabama,Conecuh County,12067
 Alabama,Coosa County,10663
 Alabama,Covington County,37049
 Alabama,Crenshaw County,13772
 Alabama,Cullman County,83768
 Alabama,Dale County,49172
 Alabama,Dallas County,37196
 Alabama,DeKalb County,71513
 Alabama,Elmore County,81209
 Alabama,Escambia County,36633
 Alabama,Etowah County,102268
 Alabama,Fayette County,16302
 Alabama,Franklin County,31362
 Alabama,Geneva County,26271
 Alabama,Greene County,8111
 Alabama,Hale County,14651
 Alabama,Henry County,17205
 Alabama,Houston County,105882
 Alabama,Jackson County,51626
 Alabama,Jefferson County,658573
 Alabama,Lamar County,13805
 Alabama,Lauderdale County,92729
 Alabama,Lawrence County,32924
 Alabama,Lee County,164542
 Alabama,Limestone County,98915
 Alabama,Lowndes County,9726
 Alabama,Macon County,18068
 Alabama,Madison County,372909
 Alabama,Marengo County,18863
 Alabama,Marion County,29709
 Alabama,Marshall County,96774
 Alabama,Mobile County,413210
 Alabama,Monroe County,20733
 Alabama,Montgomery County,226486
 Alabama,Morgan County,119679
 Alabama,Perry County,8923
 Alabama,Pickens County,19930
 Alabama,Pike County,33114
 Alabama,Randolph County,22722
 Alabama,Russell County,57961
 Alabama,St. Clair County,89512
 Alabama,Shelby County,217702
 Alabama,Sumter County,12427
 Alabama,Talladega County,79978
 Alabama,Tallapoosa County,40367
 Alabama,Tuscaloosa County,209355
 Alabama,Walker County,63521
 Alabama,Washington County,16326
 Alabama,Wilcox County,10373
 Alabama,Winston County,23629
 Alaska,Aleutians East Borough,3337
 Alaska,Aleutians West Census Area,5634
 Alaska,Anchorage Municipality,288000
 Alaska,Bethel Census Area,18386
 Alaska,Bristol Bay Borough,836
 Alaska,Denali Borough,2097
 Alaska,Dillingham Census Area,4916
 Alaska,Fairbanks North Star Borough,96849
 Alaska,Haines Borough,2530
 Alaska,Hoonah-Angoon Census Area,2148
 Alaska,Juneau City and Borough,31974
 Alaska,Kenai Peninsula Borough,58708
 Alaska,Ketchikan Gateway Borough,13901
 Alaska,Kodiak Island Borough,12998
 Alaska,Kusilvak Census Area,8314
 Alaska,Lake and Peninsula Borough,1592
 Alaska,Matanuska-Susitna Borough,108317
 Alaska,Nome Census Area,10004
 Alaska,North Slope Borough,9832
 Alaska,Northwest Arctic Borough,7621
 Alaska,Petersburg Borough,3266
 Alaska,Prince of Wales-Hyder Census Area,6203
 Alaska,Sitka City and Borough,8493
 Alaska,Skagway Municipality,1183
 Alaska,Southeast Fairbanks Census Area,6893
 Alaska,Valdez-Cordova Census Area,9202
 Alaska,Wrangell City and Borough,2502
 Alaska,Yakutat City and Borough,579
 Alaska,Yukon-Koyukuk Census Area,5230
 Arizona,Apache County,71887
 Arizona,Cochise County,125922
 Arizona,Coconino County,143476
 Arizona,Gila County,54018
 Arizona,Graham County,38837
 Arizona,Greenlee County,9498
 Arizona,La Paz County,21108
 Arizona,Maricopa County,4485414
 Arizona,Mohave County,212181
 Arizona,Navajo County,110924
 Arizona,Pima County,1047279
 Arizona,Pinal County,462789
 Arizona,Santa Cruz County,46498
 Arizona,Yavapai County,235099
 Arizona,Yuma County,213787
 Arkansas,Arkansas County,17486
 Arkansas,Ashley County,19657
 Arkansas,Baxter County,41932
 Arkansas,Benton County,279141
 Arkansas,Boone County,37432
 Arkansas,Bradley County,10763
 Arkansas,Calhoun County,5189
 Arkansas,Carroll County,28380
 Arkansas,Chicot County,10118
 Arkansas,Clark County,22320
 Arkansas,Clay County,14551
 Arkansas,Cleburne County,24919
 Arkansas,Cleveland County,7956
 Arkansas,Columbia County,23457
 Arkansas,Conway County,20846
 Arkansas,Craighead County,110332
 Arkansas,Crawford County,63257
 Arkansas,Crittenden County,47955
 Arkansas,Cross County,16419
 Arkansas,Dallas County,7009
 Arkansas,Desha County,11361
 Arkansas,Drew County,18219
 Arkansas,Faulkner County,126007
 Arkansas,Franklin County,17715
 Arkansas,Fulton County,12477
 Arkansas,Garland County,99386
 Arkansas,Grant County,18265
 Arkansas,Greene County,45325
 Arkansas,Hempstead County,21532
 Arkansas,Hot Spring County,33771
 Arkansas,Howard County,13202
 Arkansas,Independence County,37825
 Arkansas,Izard County,13629
 Arkansas,Jackson County,16719
 Arkansas,Jefferson County,66824
 Arkansas,Johnson County,26578
 Arkansas,Lafayette County,6624
 Arkansas,Lawrence County,16406
 Arkansas,Lee County,8857
 Arkansas,Lincoln County,13024
 Arkansas,Little River County,12259
 Arkansas,Logan County,21466
 Arkansas,Lonoke County,73309
 Arkansas,Madison County,16576
 Arkansas,Marion County,16694
 Arkansas,Miller County,43257
 Arkansas,Mississippi County,40651
 Arkansas,Monroe County,6701
 Arkansas,Montgomery County,8986
 Arkansas,Nevada County,8252
 Arkansas,Newton County,7753
 Arkansas,Ouachita County,23382
 Arkansas,Perry County,10455
 Arkansas,Phillips County,17782
 Arkansas,Pike County,10718
 Arkansas,Poinsett County,23528
 Arkansas,Polk County,19964
 Arkansas,Pope County,64072
 Arkansas,Prairie County,8062
 Arkansas,Pulaski County,391911
 Arkansas,Randolph County,17958
 Arkansas,St. Francis County,24994
 Arkansas,Saline County,122437
 Arkansas,Scott County,10281
 Arkansas,Searcy County,7881
 Arkansas,Sebastian County,127827
 Arkansas,Sevier County,17007
 Arkansas,Sharp County,17442
 Arkansas,Stone County,12506
 Arkansas,Union County,38682
 Arkansas,Van Buren County,16545
 Arkansas,Washington County,239187
 Arkansas,White County,78753
 Arkansas,Woodruff County,6320
